API,class,stress,level,initial_API,initial_deg,stressed_API_true,stressed_deg_true,stressed_API_meas,stressed_deg_meas
Run_670,small_nonvolatile,thermal,mid,100.50,0.12,83.40,17.22,82.97,17.01
Run_671,peptide,photolysis,high,100.61,0.20,59.88,40.93,60.01,39.58
Run_672,small_nonvolatile,thermal,low,100.41,0.34,97.95,2.80,97.56,2.46
Run_673,peptide,acid,mid,100.68,0.91,91.87,9.71,92.17,9.49
Run_674,peptide,photolysis,mid,100.77,0.59,94.13,7.23,93.82,6.17
Run_675,small_nonvolatile,acid,high,99.67,0.90,66.51,34.06,66.65,33.55
Run_676,small_nonvolatile,base,mid,100.36,0.71,85.53,15.54,84.88,15.16
Run_677,peptide,base,mid,99.54,0.19,91.11,8.61,90.41,9.00
Run_678,small_volatile,photolysis,low,99.77,0.55,95.04,4.95,94.25,5.07
Run_679,peptide,thermal,low,100.64,0.25,97.13,3.77,97.46,3.61
Run_680,peptide,base,high,99.95,0.78,70.06,30.67,70.17,30.03
Run_681,small_nonvolatile,thermal,high,99.77,0.34,68.62,31.49,68.23,31.42
Run_682,small_nonvolatile,thermal,high,99.01,0.68,53.64,46.04,53.93,46.15
Run_683,small_volatile,base,low,100.57,0.14,98.63,1.79,99.21,1.65
Run_684,peptide,thermal,mid,100.12,0.71,90.71,10.13,91.55,10.36
Run_685,peptide,oxidation,high,99.70,0.75,59.07,41.38,58.04,41.04
Run_686,peptide,base,low,99.83,0.48,98.58,1.72,98.94,2.29
Run_687,small_volatile,base,low,101.27,0.51,99.33,2.45,98.79,2.67
Run_688,small_nonvolatile,thermal,mid,100.08,0.52,82.99,17.61,82.66,11.91
Run_689,small_volatile,photolysis,mid,100.47,0.37,83.91,16.93,85.22,11.56
Run_690,small_nonvolatile,thermal,high,101.00,0.99,55.49,46.51,55.24,46.74
Run_691,small_nonvolatile,acid,mid,100.47,0.60,84.46,16.61,83.97,17.21
Run_692,peptide,base,high,99.92,0.61,67.60,32.93,67.56,33.50
Run_693,small_nonvolatile,photolysis,mid,100.62,0.78,81.79,19.61,81.96,20.82
Run_694,small_volatile,acid,mid,99.71,0.92,82.11,14.83,81.55,14.56
Run_695,peptide,photolysis,low,100.07,0.32,98.58,1.81,99.03,1.98
Run_696,small_nonvolatile,acid,mid,98.37,0.12,85.91,12.58,85.83,12.25
Run_697,small_volatile,oxidation,low,99.07,0.85,94.67,5.25,94.04,4.70
Run_698,peptide,acid,low,100.02,0.79,96.08,4.74,95.94,5.84
Run_699,small_volatile,acid,mid,100.85,0.67,93.61,6.53,93.31,6.52
Run_700,peptide,acid,mid,99.92,0.13,79.87,20.18,80.03,19.76
Run_701,small_nonvolatile,acid,mid,100.33,0.60,82.20,18.73,82.58,12.99
Run_702,small_nonvolatile,base,high,99.87,0.60,71.14,29.34,70.43,28.63
Run_703,peptide,acid,high,99.65,0.65,78.48,21.82,78.15,21.86
Run_704,small_volatile,photolysis,high,100.73,0.41,66.90,34.25,67.19,33.57
Run_705,peptide,acid,high,99.56,1.00,62.95,37.60,62.93,37.71
Run_706,peptide,base,low,99.90,0.98,96.45,4.42,96.85,5.18
Run_707,peptide,photolysis,mid,99.30,0.89,83.64,16.55,83.48,11.87
Run_708,small_nonvolatile,acid,high,99.59,0.88,51.27,49.21,51.24,49.76
Run_709,peptide,oxidation,mid,99.70,0.24,83.08,16.86,82.87,16.42
Run_710,peptide,oxidation,high,99.25,0.33,70.67,28.92,70.69,29.01
Run_711,small_nonvolatile,thermal,low,99.96,0.18,97.54,2.60,97.59,3.01
Run_712,small_nonvolatile,oxidation,mid,99.54,0.30,82.66,17.18,82.23,16.61
Run_713,peptide,thermal,mid,99.62,0.50,88.67,11.45,88.97,12.63
Run_714,small_volatile,thermal,mid,99.77,0.89,89.07,11.59,89.46,12.18
Run_715,peptide,thermal,high,100.34,0.34,66.53,34.15,65.81,33.74
Run_716,peptide,oxidation,low,99.64,0.64,98.31,1.97,98.15,2.10
Run_717,small_volatile,oxidation,high,100.13,0.80,65.08,29.32,65.99,29.77
Run_718,small_nonvolatile,thermal,high,99.89,0.42,71.15,29.16,70.98,30.00
Run_719,small_volatile,photolysis,low,100.00,0.80,98.07,2.73,97.92,2.82
Run_720,small_nonvolatile,thermal,high,99.09,0.74,64.28,35.54,63.47,34.78
Run_721,small_nonvolatile,photolysis,high,100.41,0.87,49.90,51.38,49.36,51.30
Run_722,small_volatile,base,mid,98.67,0.97,82.88,16.77,83.54,16.49
Run_723,peptide,base,mid,100.08,0.33,83.71,16.70,84.44,16.86
Run_724,small_volatile,oxidation,mid,99.40,0.14,85.89,13.66,85.56,9.38
Run_725,peptide,photolysis,high,100.03,0.74,67.12,33.65,67.13,33.86
Run_726,small_volatile,oxidation,mid,99.56,0.46,94.05,5.98,93.37,4.03
Run_727,small_nonvolatile,photolysis,high,99.19,0.47,53.87,45.79,54.16,46.10
Run_728,small_nonvolatile,base,low,99.82,0.52,94.78,5.56,94.07,6.38
Run_729,small_volatile,base,high,99.88,0.27,77.07,18.75,77.85,18.64
Run_730,small_volatile,oxidation,low,99.98,0.73,96.94,3.77,96.23,3.32
Run_731,small_nonvolatile,thermal,high,99.85,0.14,76.72,23.28,76.14,22.84
Run_732,small_volatile,oxidation,low,99.63,0.67,97.69,2.61,98.18,2.23
Run_733,peptide,acid,low,99.79,0.45,96.41,3.83,96.52,3.58
Run_734,small_volatile,thermal,mid,99.87,0.89,83.18,17.58,82.76,17.45
Run_735,small_volatile,photolysis,high,99.44,0.78,62.37,37.85,62.41,39.11
Run_736,peptide,acid,mid,99.90,0.71,87.32,13.28,87.28,13.78
Run_737,peptide,thermal,low,99.70,0.75,98.44,2.01,98.69,2.83
Run_738,peptide,oxidation,mid,100.35,0.23,83.47,17.11,82.78,16.51
Run_739,small_volatile,acid,low,100.28,0.90,98.34,2.84,97.55,2.41
Run_740,small_volatile,base,low,99.22,0.69,97.91,2.00,98.17,2.13
Run_741,small_nonvolatile,photolysis,mid,100.01,0.67,86.19,14.49,86.54,14.36
Run_742,peptide,acid,mid,100.40,0.90,81.94,19.36,82.91,19.12
Run_743,small_volatile,thermal,mid,100.43,0.15,92.04,8.54,91.75,8.33
Run_744,small_nonvolatile,oxidation,low,100.15,0.49,98.80,1.83,98.14,2.48
Run_745,small_nonvolatile,oxidation,high,99.41,0.64,60.54,39.51,60.09,39.68
Run_746,small_volatile,oxidation,mid,100.19,0.31,84.29,16.21,84.02,15.96
Run_747,peptide,thermal,low,100.11,0.52,97.23,3.40,96.77,3.47
Run_748,small_nonvolatile,base,mid,99.55,0.72,80.24,20.02,79.68,19.25
Run_749,small_volatile,acid,low,99.06,0.12,94.88,3.52,94.33,3.87
Run_750,small_volatile,base,low,99.69,0.96,98.08,2.58,99.23,2.95
Run_751,peptide,thermal,high,100.49,0.83,55.46,45.85,55.77,45.04
Run_752,peptide,base,mid,100.05,0.93,88.49,12.48,88.17,12.56
Run_753,small_volatile,thermal,high,99.99,0.84,58.96,41.87,59.35,42.67
Run_754,peptide,thermal,mid,99.50,0.66,89.74,10.42,88.90,10.14
Run_755,peptide,acid,high,100.03,0.31,72.13,28.21,71.03,27.53
Run_756,small_volatile,acid,mid,100.70,0.98,81.42,18.03,81.29,18.26
Run_757,small_nonvolatile,thermal,high,101.27,0.33,66.02,35.58,67.01,35.56
Run_758,small_volatile,acid,mid,99.70,0.83,78.52,22.01,78.17,15.11
Run_759,small_volatile,oxidation,low,99.36,0.43,94.92,4.51,94.22,4.79
Run_760,peptide,photolysis,high,100.31,0.50,80.76,20.06,79.88,19.19
Run_761,small_nonvolatile,acid,mid,100.63,0.67,86.00,15.31,85.91,10.71
Run_762,peptide,photolysis,mid,99.75,0.76,93.81,6.70,93.88,5.92
Run_763,peptide,base,low,99.31,0.38,96.83,2.86,96.73,2.62
Run_764,small_volatile,base,high,99.98,0.14,74.11,26.02,74.66,25.60
Run_765,small_volatile,base,mid,100.14,0.25,87.72,12.67,88.73,8.82
Run_766,small_nonvolatile,base,mid,100.51,0.77,82.81,18.47,82.53,17.86
Run_767,small_volatile,base,low,99.33,0.67,97.84,2.16,97.91,1.32
Run_768,peptide,acid,low,100.42,0.41,98.40,2.43,98.30,2.54
Run_769,peptide,acid,mid,99.69,0.19,85.52,14.36,85.90,14.55
Run_770,small_volatile,base,low,100.33,0.83,96.74,3.77,96.76,3.06
Run_771,small_volatile,acid,low,99.99,0.17,98.58,1.41,98.55,1.08
Run_772,small_volatile,oxidation,mid,100.54,0.79,81.59,19.75,81.84,19.51
Run_773,small_volatile,acid,mid,99.20,0.82,88.86,11.16,88.46,10.88
Run_774,peptide,oxidation,low,99.57,0.81,94.90,5.48,95.30,5.17
Run_775,peptide,oxidation,mid,99.82,0.53,83.89,16.45,83.05,11.77
Run_776,peptide,base,high,99.73,0.58,57.93,42.38,58.33,42.43
Run_777,small_nonvolatile,photolysis,mid,100.27,0.69,84.93,16.04,84.95,16.49
Run_778,peptide,photolysis,mid,99.51,0.65,86.19,13.97,85.57,13.80
Run_779,small_nonvolatile,base,high,99.81,0.17,72.78,27.21,73.48,27.18
Run_780,peptide,acid,high,100.15,0.55,78.47,22.23,78.69,23.27
Run_781,small_volatile,thermal,high,100.64,0.99,78.64,20.58,78.30,20.57
Run_782,peptide,acid,high,100.25,0.54,71.00,29.79,70.54,30.08
Run_783,small_volatile,base,low,100.45,0.84,96.84,4.44,96.72,4.56
Run_784,small_volatile,base,high,99.40,0.68,76.00,24.08,74.82,24.56
Run_785,small_volatile,thermal,low,99.63,0.97,96.16,3.57,96.23,3.42
Run_786,peptide,acid,low,99.80,0.85,96.03,4.62,95.42,4.41
Run_787,peptide,acid,mid,99.84,0.11,82.95,17.00,83.59,16.43
Run_788,small_volatile,base,mid,98.94,0.89,94.34,5.49,94.50,6.25
Run_789,small_volatile,photolysis,low,99.79,0.60,96.34,3.74,96.77,3.91
Run_790,small_nonvolatile,base,low,99.34,0.92,98.30,1.96,97.96,2.16
Run_791,small_volatile,acid,low,100.50,0.76,98.51,2.52,97.73,2.53
Run_792,small_volatile,base,high,99.78,0.65,64.91,35.51,63.91,35.00
Run_793,small_nonvolatile,acid,mid,100.44,0.74,90.30,10.87,90.90,7.83
Run_794,small_nonvolatile,thermal,low,100.26,0.86,97.84,3.27,97.83,3.52
Run_795,small_volatile,oxidation,low,100.48,0.13,96.83,3.78,97.21,4.11
Run_796,small_nonvolatile,photolysis,low,100.51,0.61,95.20,5.92,95.34,6.96
Run_797,peptide,base,low,99.71,0.50,97.78,2.43,97.91,3.02
Run_798,peptide,base,low,99.88,0.41,97.88,2.41,98.67,1.47
Run_799,small_nonvolatile,acid,high,99.65,0.22,55.11,44.76,55.76,44.81
Run_800,small_volatile,base,high,99.32,0.84,55.48,40.97,54.57,40.90
Run_801,small_volatile,base,low,100.31,0.52,99.14,1.51,99.32,2.27
Run_802,small_nonvolatile,acid,mid,99.97,0.97,80.50,20.44,81.30,14.27
Run_803,small_nonvolatile,photolysis,mid,100.97,0.62,95.30,6.28,96.04,6.23
Run_804,small_volatile,thermal,low,100.46,0.52,97.37,2.99,97.56,2.40
Run_805,small_nonvolatile,thermal,low,100.75,0.59,98.70,2.64,98.82,2.62
Run_806,small_nonvolatile,oxidation,mid,99.35,0.52,87.64,12.23,87.63,13.22
Run_807,peptide,photolysis,low,100.25,0.86,96.25,4.86,96.40,5.11
Run_808,small_volatile,photolysis,high,100.03,0.69,64.40,36.33,64.87,36.37
Run_809,peptide,thermal,low,99.78,0.38,96.96,3.20,96.62,2.75
Run_810,peptide,photolysis,low,100.47,0.98,96.60,4.85,96.37,5.11
Run_811,peptide,oxidation,low,99.92,0.11,95.21,4.82,94.27,4.19
Run_812,small_volatile,thermal,low,99.99,0.62,97.53,3.08,97.86,2.68
Run_813,small_volatile,base,mid,100.58,0.89,83.90,17.57,84.37,17.69
Run_814,small_nonvolatile,photolysis,mid,100.43,0.81,84.12,17.13,84.08,17.02
Run_815,small_volatile,photolysis,mid,99.97,0.38,92.60,7.75,93.64,8.19
Run_816,small_volatile,oxidation,mid,99.26,0.80,93.89,6.17,93.59,6.34
Run_817,peptide,oxidation,high,100.75,0.57,70.58,30.74,70.50,31.16
Run_818,small_nonvolatile,thermal,mid,99.71,0.62,82.07,18.26,81.02,18.08
Run_819,small_volatile,photolysis,mid,100.11,0.99,82.60,18.50,82.25,18.26
Run_820,small_volatile,thermal,mid,100.37,0.30,93.51,7.16,92.85,7.37
Run_821,small_volatile,oxidation,low,100.36,0.88,95.97,4.89,95.71,5.04
Run_822,small_volatile,thermal,mid,100.47,0.25,83.83,14.72,83.84,14.93
Run_823,small_nonvolatile,thermal,mid,99.82,0.53,80.66,19.69,81.20,14.00
Run_824,small_nonvolatile,base,low,100.38,0.72,98.60,2.50,99.24,3.80
Run_825,small_volatile,photolysis,low,99.77,0.13,96.36,2.87,95.44,2.52
Run_826,small_nonvolatile,thermal,low,99.07,0.64,97.06,2.65,96.74,3.07
Run_827,small_nonvolatile,thermal,high,100.62,0.96,49.94,51.64,50.21,50.94
Run_828,small_volatile,oxidation,mid,99.77,0.53,81.71,18.59,81.88,18.95
Run_829,small_nonvolatile,oxidation,low,99.50,0.79,95.38,4.90,95.12,5.42
Run_830,small_volatile,thermal,low,99.61,0.76,98.06,2.17,98.55,1.58
Run_831,peptide,oxidation,high,99.86,0.31,53.59,46.59,52.66,45.36
Run_832,peptide,oxidation,high,100.56,0.18,75.28,25.46,75.97,25.40
Run_833,small_nonvolatile,thermal,high,100.51,0.93,78.95,22.49,77.85,22.63
Run_834,small_nonvolatile,oxidation,mid,99.41,0.33,87.61,12.13,87.99,12.34
Run_835,peptide,thermal,high,99.80,1.00,76.13,24.67,76.21,24.17
Run_836,peptide,thermal,low,100.12,0.73,95.88,4.96,95.96,4.43
Run_837,peptide,base,low,99.91,0.76,97.57,3.11,96.86,2.66
Run_838,peptide,photolysis,high,99.79,0.67,61.89,38.57,61.59,39.26
Run_839,peptide,thermal,high,100.94,0.18,80.55,20.56,80.78,20.14
Run_840,small_nonvolatile,oxidation,low,100.82,0.10,97.95,2.98,97.60,2.74
Run_841,peptide,photolysis,low,99.67,0.97,96.26,4.38,96.43,3.78
Run_842,small_volatile,acid,mid,99.98,0.45,83.26,17.17,83.23,16.10
Run_843,peptide,base,high,99.64,0.62,45.79,54.47,45.78,53.99
Run_844,small_volatile,oxidation,high,100.08,0.95,77.49,23.54,77.01,22.99
Run_845,small_nonvolatile,photolysis,low,101.17,0.60,96.14,5.63,96.84,5.78
Run_846,peptide,photolysis,low,99.54,0.85,98.55,1.83,98.36,2.24
Run_847,small_volatile,acid,mid,100.33,0.18,86.12,14.39,86.57,14.31
Run_848,small_nonvolatile,thermal,high,100.35,0.31,72.04,28.62,71.68,28.37
Run_849,peptide,thermal,low,100.30,0.35,95.12,5.52,96.35,4.86
Run_850,peptide,photolysis,mid,100.06,0.11,87.02,13.14,87.01,13.76
Run_851,peptide,oxidation,mid,100.18,0.69,82.03,18.84,82.50,19.63
Run_852,small_volatile,photolysis,high,100.01,0.28,52.13,48.16,51.78,48.71
Run_853,peptide,oxidation,high,99.25,0.53,50.82,48.96,51.39,48.58
Run_854,small_nonvolatile,oxidation,high,100.71,0.79,52.00,49.50,51.85,48.95
Run_855,peptide,oxidation,high,99.82,0.14,71.50,28.45,72.19,28.09
Run_856,small_volatile,acid,high,100.42,0.24,73.05,27.61,73.41,28.16
Run_857,peptide,thermal,high,99.84,0.98,68.98,31.84,69.16,32.02
Run_858,small_nonvolatile,acid,high,100.44,0.62,56.18,44.88,55.41,44.26
Run_859,small_nonvolatile,base,high,99.82,0.62,68.79,31.65,69.17,31.59
Run_860,small_volatile,photolysis,high,100.69,0.85,71.89,24.84,71.46,25.46
Run_861,small_volatile,oxidation,mid,99.39,0.30,82.34,17.35,82.62,17.95
Run_862,small_nonvolatile,photolysis,low,100.82,0.35,98.56,2.61,99.53,2.75
Run_863,small_volatile,oxidation,high,100.51,0.12,70.21,27.34,69.84,27.59
Run_864,small_nonvolatile,base,high,100.66,0.91,78.99,22.57,79.01,23.10
Run_865,small_volatile,acid,mid,99.96,0.85,88.24,11.75,87.57,12.24
Run_866,small_volatile,oxidation,high,100.25,0.90,79.93,21.22,79.26,21.34
Run_867,peptide,oxidation,high,99.51,0.17,54.40,45.29,54.40,45.62
Run_868,peptide,base,high,99.97,0.65,73.46,27.15,73.24,28.03
Run_869,small_volatile,base,low,99.35,0.29,96.31,2.75,96.35,3.30
Run_870,small_volatile,photolysis,low,100.15,0.15,98.27,2.04,98.41,2.17
Run_871,small_volatile,thermal,mid,100.29,0.77,86.05,15.02,86.57,15.04
Run_872,small_nonvolatile,acid,low,100.56,0.25,99.43,1.38,99.29,1.59
Run_873,small_nonvolatile,oxidation,low,100.15,0.15,99.07,1.24,98.47,1.29
Run_874,small_nonvolatile,base,mid,99.48,0.83,79.96,20.35,80.35,19.44
Run_875,peptide,photolysis,mid,100.17,0.63,91.75,9.05,90.88,9.42
Run_876,peptide,base,low,100.33,0.41,97.39,3.36,96.79,2.88
Run_877,small_volatile,acid,low,99.87,0.22,98.63,1.35,99.24,1.57
Run_878,peptide,oxidation,high,100.01,0.53,58.11,42.42,58.63,42.78
Run_879,peptide,photolysis,mid,99.41,0.13,88.49,11.05,88.30,10.03
Run_880,small_nonvolatile,photolysis,low,100.26,0.64,97.34,3.56,97.54,3.60
Run_881,peptide,acid,mid,100.62,0.90,82.00,19.52,81.61,20.08
Run_882,small_volatile,oxidation,mid,100.78,0.39,90.52,10.65,90.38,10.79
Run_883,peptide,thermal,mid,100.55,0.75,95.13,6.18,95.93,6.55
Run_884,peptide,photolysis,mid,100.08,0.81,85.48,15.41,85.46,15.95
Run_885,small_nonvolatile,thermal,mid,100.07,0.40,85.51,14.96,86.18,14.09
Run_886,peptide,oxidation,low,99.88,0.63,97.23,3.27,97.43,3.06
Run_887,peptide,acid,low,99.86,0.29,98.84,1.32,99.33,1.36
Run_888,peptide,acid,mid,100.37,0.38,83.82,16.93,83.33,16.36
Run_889,peptide,base,mid,99.38,0.71,87.19,12.91,88.09,13.33
Run_890,peptide,base,low,101.03,0.40,97.83,3.60,96.92,4.05
Run_891,small_nonvolatile,base,low,99.59,0.33,96.86,3.06,96.32,2.75
Run_892,small_nonvolatile,thermal,low,100.16,0.41,96.98,3.59,97.21,4.18
Run_893,small_nonvolatile,acid,low,99.61,0.73,95.62,4.72,95.81,5.36
Run_894,peptide,oxidation,mid,99.41,0.88,87.17,13.12,87.07,12.70
Run_895,peptide,base,high,100.22,0.88,63.62,37.48,63.00,37.17
Run_896,small_volatile,base,low,99.48,0.86,95.60,4.22,95.18,3.51
Run_897,peptide,base,low,99.91,0.18,95.04,5.05,94.94,5.55
Run_898,small_nonvolatile,photolysis,mid,99.89,0.55,91.35,9.09,91.30,8.34
Run_899,peptide,acid,mid,100.01,0.31,78.46,21.85,78.15,20.91
Run_900,small_volatile,oxidation,low,100.47,0.68,97.65,3.50,97.45,4.26
Run_901,small_nonvolatile,thermal,high,100.14,0.69,66.19,34.65,67.22,34.92
Run_902,peptide,base,low,100.61,0.22,98.64,2.20,98.16,3.03
Run_903,peptide,oxidation,high,100.72,0.21,59.95,40.99,59.56,41.29
Run_904,peptide,thermal,low,99.66,0.63,97.14,3.16,97.11,3.47
Run_905,small_nonvolatile,base,high,100.19,0.33,63.91,36.61,64.48,36.51
Run_906,small_nonvolatile,photolysis,mid,100.11,0.29,81.02,19.38,80.69,18.90
Run_907,peptide,oxidation,high,98.96,0.91,53.09,46.79,53.37,46.18
Run_908,small_nonvolatile,thermal,mid,100.36,0.28,86.64,14.01,86.04,12.99
Run_909,peptide,thermal,low,99.64,0.99,97.25,3.38,97.49,2.99
Run_910,peptide,acid,low,100.06,0.66,97.35,3.38,97.16,3.03
Run_911,peptide,base,mid,99.71,0.69,90.01,10.39,90.36,10.37
Run_912,small_volatile,acid,low,100.26,0.17,98.27,2.16,99.00,1.33
Run_913,peptide,oxidation,mid,99.78,0.42,94.07,6.14,94.16,6.61
Run_914,peptide,oxidation,mid,99.96,0.47,84.85,15.57,85.13,15.31
Run_915,small_volatile,photolysis,mid,99.85,0.52,82.61,17.76,82.79,17.44
Run_916,small_nonvolatile,photolysis,low,99.96,0.97,95.05,5.88,96.28,5.60
Run_917,small_nonvolatile,base,mid,100.46,0.28,95.26,5.48,96.02,4.17
Run_918,small_volatile,photolysis,low,100.16,0.76,98.38,2.55,99.20,2.61
Run_919,small_volatile,photolysis,low,99.76,0.70,94.73,5.73,94.72,6.42
Run_920,small_nonvolatile,photolysis,high,100.16,0.72,60.60,40.28,61.41,40.26
Run_921,small_volatile,acid,high,99.90,0.67,74.94,25.64,75.19,25.57
Run_922,small_nonvolatile,oxidation,high,99.94,0.45,64.39,36.00,64.79,36.30
Run_923,small_nonvolatile,oxidation,high,99.84,0.49,56.22,44.11,56.16,43.91
Run_924,small_nonvolatile,oxidation,high,99.84,0.63,61.98,38.49,62.43,38.74
Run_925,small_volatile,base,low,99.70,0.49,95.99,3.40,96.68,3.04
Run_926,small_volatile,oxidation,mid,100.09,0.23,94.97,5.34,94.67,5.08
Run_927,small_nonvolatile,acid,low,100.26,0.83,95.60,5.49,95.66,5.73
Run_928,small_nonvolatile,photolysis,low,99.56,0.62,94.52,5.66,94.25,5.27
Run_929,small_volatile,acid,low,99.75,0.36,96.33,3.78,96.49,3.41
Run_930,peptide,photolysis,low,99.92,0.45,95.52,4.84,95.47,4.37
Run_931,small_volatile,base,high,99.22,0.35,53.49,46.08,53.28,46.13
Run_932,small_nonvolatile,acid,high,99.28,0.42,49.41,50.30,49.36,49.43
Run_933,small_volatile,base,high,99.52,1.00,72.21,28.31,71.86,27.64
Run_934,peptide,thermal,low,101.04,0.15,98.04,3.15,97.79,4.17
Run_935,small_volatile,thermal,low,100.00,0.89,97.58,3.30,97.47,3.11
Run_936,small_nonvolatile,thermal,high,99.33,0.60,59.97,39.96,60.58,40.78
Run_937,peptide,base,low,100.86,0.50,98.13,3.24,98.48,2.34
Run_938,peptide,oxidation,high,99.06,0.72,76.81,22.96,77.32,22.77
Run_939,peptide,photolysis,low,100.96,0.38,96.28,5.06,96.23,5.48
Run_940,small_nonvolatile,base,high,99.97,0.51,54.38,46.10,54.51,46.39
Run_941,small_volatile,acid,high,99.16,0.87,54.11,45.92,54.20,46.52
Run_942,peptide,thermal,mid,100.84,0.60,85.96,15.47,86.14,15.69
Run_943,small_volatile,acid,mid,100.76,0.47,91.62,7.77,91.69,7.16
Run_944,peptide,acid,mid,100.44,0.57,94.88,6.13,95.73,4.07
Run_945,small_nonvolatile,base,high,100.11,0.53,46.00,54.64,46.24,54.76
Run_946,peptide,thermal,high,99.90,1.00,75.16,25.74,75.23,25.98
Run_947,small_nonvolatile,base,mid,101.02,0.23,93.49,7.77,93.38,6.36
Run_948,peptide,thermal,mid,99.05,0.25,91.09,8.21,91.34,5.51
Run_949,small_nonvolatile,base,low,99.94,0.73,98.30,2.36,97.50,1.60
Run_950,small_nonvolatile,oxidation,mid,100.30,0.57,85.16,15.71,85.14,16.24
Run_951,small_volatile,acid,low,99.68,0.86,96.21,4.33,95.60,4.58
Run_952,peptide,acid,mid,100.40,0.83,84.45,16.78,84.43,16.23
Run_953,peptide,photolysis,low,100.50,0.96,96.41,5.06,96.67,4.91
Run_954,small_nonvolatile,thermal,high,99.90,0.38,76.02,24.26,76.00,24.08
Run_955,small_volatile,base,low,100.01,0.47,94.76,4.60,94.39,4.74
Run_956,small_volatile,base,low,100.10,0.87,95.70,5.27,94.99,5.16
Run_957,peptide,photolysis,high,99.95,0.57,62.58,37.95,63.72,37.19
Run_958,peptide,base,mid,100.46,0.65,95.44,5.68,95.84,3.85
Run_959,peptide,oxidation,low,99.23,0.90,95.33,4.80,94.89,4.54
Run_960,small_nonvolatile,oxidation,low,100.12,0.45,97.77,2.81,97.77,2.19
Run_961,peptide,photolysis,high,99.81,0.27,59.13,40.95,59.21,41.31
Run_962,small_nonvolatile,oxidation,mid,99.76,0.26,90.59,9.43,89.90,8.71
Run_963,small_nonvolatile,oxidation,high,99.99,0.34,78.24,22.09,78.25,20.93
Run_964,small_volatile,thermal,high,99.95,0.53,76.73,23.76,76.61,23.49
Run_965,small_nonvolatile,photolysis,mid,100.70,0.29,88.64,12.34,89.82,9.18
Run_966,small_volatile,thermal,low,99.55,0.99,94.31,6.23,94.69,6.55
Run_967,peptide,acid,low,98.85,0.90,96.40,3.35,97.08,3.72
Run_968,peptide,oxidation,low,100.11,0.98,97.63,3.47,97.01,3.17
Run_969,small_volatile,base,mid,100.78,0.61,93.97,6.93,93.68,6.93
Run_970,small_nonvolatile,photolysis,mid,98.72,0.30,93.11,5.91,93.21,3.48
Run_971,peptide,base,low,100.14,0.85,96.61,4.38,96.44,4.38
Run_972,small_nonvolatile,base,low,99.43,0.78,95.34,4.87,96.61,4.50
Run_973,small_volatile,oxidation,mid,99.92,0.25,84.92,13.65,84.73,13.44
Run_974,peptide,oxidation,low,99.14,0.84,97.93,2.05,97.32,2.62
Run_975,peptide,base,high,99.80,0.90,51.04,49.66,49.78,48.47
Run_976,small_nonvolatile,base,high,99.75,0.61,77.90,22.46,78.30,23.07
Run_977,peptide,base,mid,99.11,0.25,81.93,17.43,82.33,17.18
Run_978,small_volatile,base,low,100.72,0.48,96.69,4.51,97.03,4.77
Run_979,small_volatile,thermal,low,100.21,0.56,96.58,4.19,96.86,4.80
Run_980,small_nonvolatile,oxidation,high,99.59,0.30,71.83,28.07,72.44,27.59
Run_981,small_nonvolatile,base,low,100.43,0.25,98.98,1.70,98.04,1.55
Run_982,peptide,thermal,high,100.33,0.71,60.29,40.75,61.27,39.53
Run_983,peptide,acid,high,99.60,0.50,55.92,44.18,56.55,44.36
Run_984,peptide,acid,low,100.12,0.75,97.51,3.36,97.99,3.39
Run_985,small_nonvolatile,thermal,low,101.16,0.99,97.95,4.19,97.87,4.57
Run_986,peptide,oxidation,mid,99.45,0.70,85.94,14.22,85.65,14.67
Run_987,small_nonvolatile,thermal,low,99.65,0.47,95.33,4.79,95.33,5.34
Run_988,peptide,oxidation,low,100.76,0.88,96.28,5.36,96.83,6.03
Run_989,small_nonvolatile,photolysis,high,99.56,0.12,74.55,25.12,75.36,25.00
Run_990,small_volatile,photolysis,mid,99.71,1.00,90.75,9.95,90.63,10.07
Run_991,small_volatile,acid,low,99.73,0.53,95.35,4.31,94.73,4.09
Run_992,peptide,oxidation,mid,100.11,0.31,87.46,12.97,87.48,13.41
Run_993,small_volatile,base,high,99.35,0.18,56.92,42.62,57.07,44.14
Run_994,small_nonvolatile,photolysis,mid,99.40,0.89,83.98,16.31,84.77,11.24
Run_995,peptide,acid,high,99.91,0.48,55.99,44.40,56.47,45.30
Run_996,peptide,acid,low,100.26,0.18,96.35,4.10,96.21,4.18
Run_997,small_nonvolatile,base,mid,99.61,0.20,93.49,6.33,93.72,4.64
Run_998,small_volatile,acid,low,99.43,0.52,94.95,5.00,94.14,3.90
Run_999,small_nonvolatile,thermal,low,99.37,0.52,94.66,5.23,94.63,5.46
Run_1000,peptide,oxidation,mid,100.50,0.29,84.86,15.94,85.01,15.73
Run_1001,small_volatile,base,low,99.97,0.50,95.45,5.02,93.89,5.80
Run_1002,small_volatile,photolysis,low,100.99,0.80,99.03,2.76,99.40,2.50
Run_1003,peptide,oxidation,mid,100.99,0.17,90.36,10.80,89.88,11.05
Run_1004,peptide,thermal,high,100.23,0.75,49.02,51.96,49.70,52.05
Run_1005,small_volatile,acid,low,99.85,0.15,94.48,4.76,94.54,4.54
Run_1006,peptide,photolysis,high,100.01,0.12,69.75,30.39,70.22,30.21
Run_1007,small_volatile,base,mid,99.74,0.76,92.54,7.95,92.30,8.10
